algorithm,target,hidden_dim,dropout,learning_rate,weight_decay,epochs,outer_folds,inner_folds,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,mae_ordinal,qwk,accuracy_pm1,errores_graves,accuracy_std,balanced_accuracy_std,precision_macro_std,recall_macro_std,f1_macro_std,mae_ordinal_std,qwk_std,accuracy_pm1_std,errores_graves_std
CORAL,GDS,32,0.15,0.001,0.0001,20,2,2,0.31009136212624583,0.4271744603115648,0.39041221768829426,0.4271744603115648,0.33236243189715997,0.8507810503450037,0.6296577390876804,0.8552101967799642,0.14478980322003576,0.0077657807308970095,0.07801553395609007,0.05697513915317648,0.07801553395609007,0.05833985107850331,0.02399533605928955,0.009941288138133664,0.019789803220035762,0.019789803220035776
CORAL,GDS_R1,32,0.15,0.001,0.0001,20,5,3,0.8802410313901345,0.6604622667780562,0.7395077105346749,0.6604622667780562,0.6065302262979955,0.12422325432415118,0.6051876307374833,0.9955357142857142,0.004464285714285714,0.008324600540834433,0.06308782498685268,0.03605174831647011,0.06308782498685268,0.04327191066934959,0.008731220041501148,0.06519693520505812,0.0028234621965789,0.00282346219657891
CORAL,GDS_R2,32,0.15,0.001,0.0001,20,5,3,0.7300848814862269,0.6409297529791861,0.6866780976861964,0.6409297529791861,0.6299267187686318,0.29942745035233825,0.6864150656275806,0.970487668161435,0.02951233183856502,0.019755093791118325,0.02888526251416805,0.02019529912224683,0.02888526251416805,0.026302967727290242,0.03127743134634911,0.05662573496940441,0.012592686102801887,0.012592686102801884
CORAL,GDS_R3,32,0.15,0.001,0.0001,20,5,3,0.914225656630365,0.7756569528396153,0.8751594438307422,0.7756569528396153,0.8126816054601417,0.08577434336963485,0.6271674047671703,1.0,0.0,0.01938123225110973,0.03140527139168508,0.0571481249522218,0.03140527139168508,0.037388319983251816,0.019381232251109715,0.07467697433192927,0.0,0.0
CORAL,GDS_R4,32,0.15,0.001,0.0001,20,5,3,0.5523022101217169,0.7182812401501675,0.5410547320554231,0.7182812401501675,0.5296418513658467,0.4476977898782832,0.3698207842661797,1.0,0.0,0.03859556333032816,0.03309761348590836,0.027600962203229974,0.03309761348590836,0.016678268879557995,0.03859556333032815,0.024677215185936387,0.0,0.0
CORAL,GDS_R5,32,0.15,0.001,0.0001,20,5,3,0.4995235426008969,0.6634805128948131,0.5302762743107177,0.6634805128948131,0.5039733238778743,0.5085241832158873,0.4649012083637173,0.9919522741832159,0.008047725816784113,0.03338967366605991,0.024658562574699172,0.028080916664781165,0.024658562574699172,0.03204494281681682,0.03503890643927742,0.03135659894483953,0.007151900463969579,0.007151900463969561
