algorithm,target,hidden_dim,dropout,learning_rate,weight_decay,epochs,outer_folds,inner_folds,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,mae_ordinal,qwk,accuracy_pm1,errores_graves,accuracy_std,balanced_accuracy_std,precision_macro_std,recall_macro_std,f1_macro_std,mae_ordinal_std,qwk_std,accuracy_pm1_std,errores_graves_std
CORAL,GDS,32,0.15,0.001,0.0001,20,2,2,0.2975913621262458,0.41719855617842194,0.27701105275288795,0.41719855617842194,0.2447790800577842,0.8713183618706875,0.656864763620225,0.8480657423971378,0.15193425760286228,0.004734219269102974,0.006762626206538003,0.002636344654089934,0.006762626206538003,0.010557669950112814,0.005246933299258849,0.009075638686214471,0.014434257602862266,0.014434257602862252
CORAL,GDS_R1,32,0.15,0.001,0.0001,20,5,3,0.8757887572069187,0.656829109811566,0.6786361504839766,0.656829109811566,0.5697719894730447,0.12778267136450994,0.6430888315530764,0.9964285714285716,0.0035714285714285713,0.005783324572784103,0.06001326100888422,0.04887668804686456,0.06001326100888422,0.039327077900357284,0.007088126511942473,0.023912351765923098,0.0033407655239052927,0.003340765523905305
CORAL,GDS_R2,32,0.15,0.001,0.0001,20,5,3,0.7274063100576554,0.6416244805634775,0.6733186216739029,0.6416244805634775,0.6260571950180173,0.30031229980781554,0.6927377342969848,0.9722813901345292,0.02771860986547085,0.019798837419091234,0.031767207721317824,0.029848015620907265,0.031767207721317824,0.026783479397638973,0.02784032741613442,0.04798966106496757,0.009180033907195214,0.00918003390719522
CORAL,GDS_R3,32,0.15,0.001,0.0001,20,5,3,0.9106542280589366,0.7853655380280767,0.8519151297780981,0.7853655380280767,0.8118658138402051,0.08934577194106344,0.6247845954349083,1.0,0.0,0.020683761172410813,0.03931043159610774,0.05305181562755308,0.03931043159610774,0.041378016350433616,0.020683761172410803,0.08254155527581167,0.0,0.0
CORAL,GDS_R4,32,0.15,0.001,0.0001,20,5,3,0.48344811018577827,0.7062389975554388,0.5085660948254854,0.7062389975554388,0.47574360571272056,0.5165518898142217,0.3433010651757266,1.0,0.0,0.047168176776712006,0.03280307348087022,0.015452457708904344,0.03280307348087022,0.02888403360182989,0.047168176776712034,0.03144175454132742,0.0,0.0
CORAL,GDS_R5,32,0.15,0.001,0.0001,20,5,3,0.44325352338244717,0.6611328606480545,0.520036768884452,0.6611328606480545,0.46316191172166016,0.5665799167200513,0.44886847815853026,0.9901665598975017,0.009833440102498398,0.015818960941470447,0.01776917612042211,0.017013198510575967,0.01776917612042211,0.010792354547393936,0.013729006616911888,0.01986175816982178,0.006567712169832705,0.00656771216983269
